Timestamp,Volume Flow (m^3/h)

2024-04-01 00:00:00,312.54

2024-04-01 00:01:00,193.78

2024-04-01 00:02:00,393.96

2024-04-01 00:03:00,364.7

2024-04-01 00:04:00,100.33

2024-04-01 00:05:00,394.25

2024-04-01 00:06:00,358.96

2024-04-01 00:07:00,100.99

2024-04-01 00:08:00,359.12

2024-04-01 00:09:00,386.5

2024-04-01 00:10:00,366.67

2024-04-01 00:11:00,229.99

2024-04-01 00:12:00,314.29

2024-04-01 00:13:00,185.19

2024-04-01 00:14:00,390.7

2024-04-01 00:15:00,125.92

2024-04-01 00:16:00,304.36

2024-04-01 00:17:00,320.88

2024-04-01 00:18:00,389.7

2024-04-01 00:19:00,377.42

2024-04-01 00:20:00,309.58

2024-04-01 00:21:00,288.47

2024-04-01 00:22:00,322.02

2024-04-01 00:23:00,132.22

2024-04-01 00:24:00,312.2

2024-04-01 00:25:00,172.41

2024-04-01 00:26:00,190.97

2024-04-01 00:27:00,280.65

2024-04-01 00:28:00,284.36

2024-04-01 00:29:00,226.91

2024-04-01 00:30:00,327.9

2024-04-01 00:31:00,365.15

2024-04-01 00:32:00,375.72

2024-04-01 00:33:00,362.21

2024-04-01 00:34:00,309.32

2024-04-01 00:35:00,323.14

2024-04-01 00:36:00,100.84

2024-04-01 00:37:00,383.12

2024-04-01 00:38:00,162.18

2024-04-01 00:39:00,352.37

2024-04-01 00:40:00,133.55

2024-04-01 00:41:00,199.83

2024-04-01 00:42:00,239.64

2024-04-01 00:43:00,384.17

2024-04-01 00:44:00,166.55

2024-04-01 00:45:00,278.18

2024-04-01 00:46:00,176.14

2024-04-01 00:47:00,282.1

2024-04-01 00:48:00,291.16

2024-04-01 00:49:00,310.93

2024-04-01 00:50:00,182.49

2024-04-01 00:51:00,337.7

2024-04-01 00:52:00,333.89

2024-04-01 00:53:00,217.57

2024-04-01 00:54:00,333.38

2024-04-01 00:55:00,190.47

2024-04-01 00:56:00,190.04

2024-04-01 00:57:00,364.22

2024-04-01 00:58:00,241.08

2024-04-01 00:59:00,198.71

2024-04-01 01:00:00,342.59

2024-04-01 01:01:00,139.88

2024-04-01 01:02:00,335.77

2024-04-01 01:03:00,315.27

2024-04-01 01:04:00,113.39

2024-04-01 01:05:00,309.25

2024-04-01 01:06:00,353.1

2024-04-01 01:07:00,110.95

2024-04-01 01:08:00,235.57

2024-04-01 01:09:00,285.64

2024-04-01 01:10:00,133.86

2024-04-01 01:11:00,216.57

2024-04-01 01:12:00,191.18

2024-04-01 01:13:00,160.21

2024-04-01 01:14:00,196.68

2024-04-01 01:15:00,243.42

2024-04-01 01:16:00,274.6

2024-04-01 01:17:00,271.57

2024-04-01 01:18:00,373.06

2024-04-01 01:19:00,336.03

2024-04-01 01:20:00,139.51

2024-04-01 01:21:00,251.88

2024-04-01 01:22:00,270.76

2024-04-01 01:23:00,396.22

2024-04-01 01:24:00,258.66

2024-04-01 01:25:00,314.75

2024-04-01 01:26:00,185.85

2024-04-01 01:27:00,144.03

2024-04-01 01:28:00,349.83

2024-04-01 01:29:00,159.19

2024-04-01 01:30:00,148.37

2024-04-01 01:31:00,398.65

2024-04-01 01:32:00,309.27

2024-04-01 01:33:00,158.79

2024-04-01 01:34:00,293.31

2024-04-01 01:35:00,169.97

2024-04-01 01:36:00,205.8

2024-04-01 01:37:00,366.3

2024-04-01 01:38:00,113.7

2024-04-01 01:39:00,147.07

2024-04-01 01:40:00,289.49

2024-04-01 01:41:00,163.89

2024-04-01 01:42:00,386.51

2024-04-01 01:43:00,137.0

2024-04-01 01:44:00,399.29

2024-04-01 01:45:00,109.29

2024-04-01 01:46:00,324.62

2024-04-01 01:47:00,233.05

2024-04-01 01:48:00,331.18

2024-04-01 01:49:00,349.66

2024-04-01 01:50:00,102.47

2024-04-01 01:51:00,181.07

2024-04-01 01:52:00,211.66

2024-04-01 01:53:00,140.29

2024-04-01 01:54:00,165.6

2024-04-01 01:55:00,184.6

2024-04-01 01:56:00,295.17

2024-04-01 01:57:00,308.02

2024-04-01 01:58:00,249.17

2024-04-01 01:59:00,328.3

2024-04-01 02:00:00,377.48

2024-04-01 02:01:00,395.78

2024-04-01 02:02:00,312.55

2024-04-01 02:03:00,304.57

2024-04-01 02:04:00,334.7

2024-04-01 02:05:00,100.21

2024-04-01 02:06:00,179.05

2024-04-01 02:07:00,173.53

2024-04-01 02:08:00,194.58

2024-04-01 02:09:00,250.25

2024-04-01 02:10:00,183.31

2024-04-01 02:11:00,218.12

2024-04-01 02:12:00,282.86

2024-04-01 02:13:00,160.09

2024-04-01 02:14:00,318.25

2024-04-01 02:15:00,158.17

2024-04-01 02:16:00,132.46

2024-04-01 02:17:00,384.62

2024-04-01 02:18:00,304.68

2024-04-01 02:19:00,361.4

2024-04-01 02:20:00,344.0

2024-04-01 02:21:00,229.78

2024-04-01 02:22:00,148.25

2024-04-01 02:23:00,311.12

2024-04-01 02:24:00,186.91

2024-04-01 02:25:00,184.44

2024-04-01 02:26:00,126.8

2024-04-01 02:27:00,147.81

2024-04-01 02:28:00,385.19

2024-04-01 02:29:00,392.15

2024-04-01 02:30:00,310.74

2024-04-01 02:31:00,362.2

2024-04-01 02:32:00,265.1

2024-04-01 02:33:00,139.46

2024-04-01 02:34:00,187.73

2024-04-01 02:35:00,230.76

2024-04-01 02:36:00,172.39

2024-04-01 02:37:00,337.43

